Date,Avoider,Type of Avoid,Avoided
10/12/18,QE,s,SR
10/12/18,RK,agg2,EZ
10/12/18,TBTW2,agg3,MZ
10/12/18,TN,agg2,SRSZ
10/12/18,TT,hd2,HC
10/12/18,TU,agg2,TO
10/12/18,TW,s,WY
10/12/18,WC,agg1,FD
10/12/18,WQ,s,OI
10/13/18,EV,agg1,AR
10/13/18,PU,hd2,ST
10/13/18,SRSZ,agg1,ST
10/15/18,BH,agg1,QE
10/15/18,DS,agg2,PB
10/15/18,EY,agg1,QE
10/15/18,EY,hd2,FO
10/15/18,FFFO,s,KC
10/15/18,FFFO,s,HA
10/15/18,FFFO,c,HL
10/15/18,IQVN,s,IE
10/15/18,JM,agg1,KC
10/15/18,JM,fd,AR
10/15/18,JM,agg2,PY
10/15/18,JO,agg2,MA
10/15/18,JR,agg2,IF
10/15/18,JR,agg3,AX
10/15/18,LQ,agg1,PS
10/15/18,LT,agg1,PM
10/15/18,MF,agg1,JM
10/15/18,MZ,s,HC
10/15/18,NW,agg1,NQ
10/15/18,PY,agg2,EZ
10/15/18,SRSZ,agg2,AL
10/15/18,TB,s,OI
10/15/18,TB,s,HD
10/15/18,TO,agg2,NI
10/15/18,TT,hd2,HC
10/15/18,TU,s,HC
10/15/18,ZE,agg1,VB
10/16/18,EV,hd1,ST
10/16/18,FFFO,s,AL
10/16/18,II,sg,FD
10/16/18,II,hd2,FD
10/16/18,JM,agg1,AF
10/16/18,KS,agg3,QS
10/16/18,KT,fd,EZ
10/16/18,ML,fd,IQ
10/16/18,PB,agg3,VB
10/16/18,RK,sg,FD
10/16/18,TB,s,ML
10/16/18,TBTW2,agg2,KT
10/16/18,TL,sg,AX
10/16/18,TT,agg3,TL
10/16/18,VB,agg2,PB
10/17/18,AF,agg3,IF
10/17/18,AF,agg2,KT
10/17/18,AX,fd,IG
10/17/18,BH,s,IQ
10/17/18,DO,agg2,AL
10/17/18,KQ,agg2,MF
10/17/18,LQ,agg2,FU
10/17/18,LW,agg2,QS
10/17/18,MF,agg3,KQ
10/17/18,ML,agg2,LQ
10/17/18,PY,agg2,KQ
10/17/18,QI,agg2,ZI
10/17/18,TN,agg2,MA
10/17/18,TO,fd,HL
10/17/18,TU,agg2,IG
10/17/18,VM,agg3,VB
10/17/18,VM,agg2,FFFO
10/17/18,VO,agg3,VB
10/17/18,VO,agg2,ZP
10/18/18,AX,s,IGVD
10/18/18,BH,hd2,YV
10/18/18,BH,fd,IQ
10/18/18,GL,s,WQ
10/18/18,HC,FD48F,HD
10/18/18,HS,agg2,WR
10/18/18,IG,s,OI
10/18/18,JE2,agg1,IW
10/18/18,JE2,sg,FD
10/18/18,JE2,agg3,L
10/18/18,KC,agg1,HD
10/18/18,MR,agg3,JO
10/18/18,MR,agg1,ZP
10/18/18,RK,agg3,HA
10/18/18,TE,agg1,CF
10/18/18,TU,agg2,EZ
10/18/18,ZP,agg3,JO
10/18/18,ZP,agg2,JO
10/19/18,AF,hd2,ST
10/19/18,AF,agg3,"DU,DA2"
10/19/18,AL2,s,WO
10/19/18,AL2,agg3,HD
10/19/18,ALAL2,hd2,YN
10/19/18,AN2,agg3,UM
10/19/18,AR,agg3,YU
10/19/18,AX,agg1,ZI
10/19/18,CR,sg,KC
10/19/18,CU,agg1,ZI
10/19/18,DC,agg2,EZ
10/19/18,DZ,s,OI
10/19/18,EAET2,s,SRSZ
10/19/18,FG,agg3,UM
10/19/18,IE,agg1,HA
10/19/18,LV,agg1,CG
10/19/18,MA,agg2,HD
10/19/18,"MA,TN",agg2,HD
10/19/18,MD2,s,IR
10/19/18,ML,s,IF
10/19/18,ML,hd1,IR
10/19/18,"NP,AR",agg1,YU
10/19/18,PS,s,VB
10/19/18,SRSZ,agg2,YN
10/19/18,SS,agg3,PB
10/19/18,SS,agg2,PB
10/19/18,TB,agg1,IE
10/19/18,TBTW2,s,AL
10/19/18,TE,s,IQ
10/19/18,TL,hd1,HT
10/19/18,TO,agg2,KQ
10/19/18,TU,agg1,TL
10/19/18,TU,agg2,ML
10/19/18,TW,s,YU
10/19/18,TW,agg3,IG
10/19/18,UM,agg2,AN2
10/19/18,UM,agg2,TO
10/19/18,VB,agg2,PB
10/19/18,VI,agg2,ZP
10/19/18,WY,agg2,CE
10/19/18,ZP,agg2,HD
10/22/18,IEVN,agg2,EZ
10/22/18,JL,fd,SRSZ
10/22/18,TBTW2,s,HA
10/22/18,TO,agg2,AX
10/23/18,ALAL2,agg2,WY
10/23/18,BH,c,IQ
10/23/18,CE,agg2,HC
10/23/18,HC,agg2,WY
10/23/18,HS,s,HD
10/23/18,IQ,sg,EZ
10/23/18,JE2,s,ST
10/23/18,JL,agg2,PY
10/23/18,JM,agg2,PY
10/23/18,KS,agg1,VB
10/23/18,LQ,agg2,KC
10/23/18,LW,agg2,VB
10/23/18,MF,agg2,TN
10/23/18,MF,agg1,KQ
10/23/18,ML,s,HA
10/23/18,ML,agg2,AX
10/23/18,MR,agg2,EA
10/23/18,MV,agg2,IF
10/23/18,MZ,s,NI
10/23/18,MZ,fd,AL
10/23/18,NI,agg1,HD
10/23/18,PM,agg2,PG
10/23/18,QE,fd,AL
10/23/18,SS,agg2,KQ
10/23/18,TB,agg1,ST
10/23/18,TBTW2,s,AX
10/23/18,TE,s,NI
10/23/18,TN,hd2,HC
10/23/18,TU,agg2,TL
10/23/18,TU,agg1,HA
10/23/18,WR,agg1,HC
10/23/18,WY,agg3,HC
10/23/18,WY,agg1,HC
10/23/18,ZI,agg2,HC
10/24/18,DC,c,VB
10/24/18,HC,agg1,WY
10/24/18,JO,agg1,YV
10/24/18,JR,agg3,YV
10/24/18,KC,agg2,PB
10/24/18,LT,agg1,UM
10/24/18,MV,sg,WR
10/24/18,PU,agg2,WC
10/24/18,TBTW2,s,CA
10/24/18,TE,s,YV
10/24/18,TELH,s,SR
10/24/18,TU,s,WR
10/24/18,WR,agg1,YV
10/24/18,YO,s,YV
10/24/18,YR,s,YV
10/25/18,AF,agg2,HD
10/25/18,AR,c,HD
10/25/18,BH,agg2,AX
10/25/18,BQ,agg1,JM
10/25/18,CA,agg2,HS
10/25/18,CRCO2,agg2,HL
10/25/18,CU,agg3,HA
10/25/18,CU,agg3,HAPQ
10/25/18,DG,agg2,VB
10/25/18,DG,agg2,YL
10/25/18,DU,sg,TO
10/25/18,DZ,s,MR
10/25/18,DZ,agg3,IR
10/25/18,EA,agg3,QE
10/25/18,EA,agg2,SR
10/25/18,EA,agg2,HD
10/25/18,EA,agg3,CC
10/25/18,EA,sg,KT
10/25/18,EV,agg3,EZ
10/25/18,EZ,c,YA
10/25/18,FF,c,HD
10/25/18,FFFO,s,HL
10/25/18,GL,agg1,OI
10/25/18,GV,agg3,IR
10/25/18,HJ,FD10SB,WO
10/25/18,HS,agg1,HC
10/25/18,IEVN,s,HL
10/25/18,IGVD,agg2,IY
10/25/18,JL,agg2,KC
10/25/18,JM,c,NP
10/25/18,KC,agg2,ZI
10/25/18,KQ,agg3,PB
10/25/18,MV,agg2,PY
10/25/18,MV,agg2,II
10/25/18,MZ,agg2,HA
10/25/18,MZ,fd,AL
10/25/18,NW,fd,HD
10/25/18,PB,fd,EZ
10/25/18,PY,agg2,ZI
10/25/18,SR,sg,IG
10/25/18,TBTW2,s,IG
10/25/18,TBTW2,agg3,IEVN
10/25/18,TELH,s,IQ
10/25/18,TU,agg2,IQ
10/25/18,YR,agg2,"WO,WR"
10/26/18,CU,agg2,HAPQ
10/26/18,FD,agg3,WR
10/26/18,FD,agg2,BD
10/26/18,SRSZ,s,HL
10/26/18,TLCV2,hd2,HT
10/26/18,VB,agg3,HAPQ
10/26/18,VU,agg3,HAPQ
10/27/18,AF,agg2,"EY,IF"
10/27/18,AF,agg2,JO.IE
10/27/18,IG,hd2,OI
10/27/18,MF,agg2,TO
10/27/18,MF,agg3,TBTW2
10/27/18,TBTW2,agg2,RK
10/27/18,TBTW2,agg2,IW
10/27/18,TBTW2,agg3,PA
10/27/18,TBTW2,agg3,"IW,PA"
10/29/18,BH,fd,IQ
10/29/18,CA,agg2,PU
10/29/18,FFFO,agg2,AL
10/29/18,GL,agg2,WQ
10/29/18,GL,agg1,OI
10/29/18,HC,agg2,YL
10/29/18,IG,hd2,OI
10/29/18,JM,agg2,HL
10/29/18,MF,agg2,YR
10/29/18,ML,agg2,AL
10/29/18,MZ,agg2,TN
10/29/18,TBTW2,agg2,KC
10/29/18,TE,agg2,NQ
10/29/18,TN,agg2,EZ
10/29/18,TW,c,IQ
10/29/18,VI,agg2,CC
10/29/18,WY,agg1,HS
10/29/18,WY,s,HS
10/29/18,YA,agg3,YE
10/30/18,EZ,agg1,IY
10/30/18,HD,agg2,WQ
10/30/18,HJ,agg1,YU
10/30/18,HJ,s,YU
10/30/18,HL,s,WQ
10/30/18,IF,fd,AL
10/30/18,KC,agg2,IY
10/30/18,LQ,agg2,TO
10/30/18,LQ,agg3,WY
10/30/18,ML,sg,IQ
10/30/18,"NQ,YE",agg3,HD
10/30/18,"ST,AF",agg2,HT
10/30/18,TO,agg2,NW
10/30/18,TU,agg2,LQ
10/30/18,VB,agg3,IY
10/30/18,YO,agg2,OI
10/31/18,AF,agg2,HD
10/31/18,DS,agg2,EZ
10/31/18,DU,s,HD
10/31/18,DZ,s,IG
10/31/18,DZ,hd2,IR
10/31/18,EA,agg1,SR
10/31/18,EA,agg2,HD
10/31/18,EV,agg1,QE
10/31/18,FF,s,SR
10/31/18,IE,s,HA
10/31/18,IG,hd2,JO
10/31/18,JO,agg1,YV
10/31/18,JO,agg1,OI
10/31/18,JO,s,OI
10/31/18,JR,agg1,MR
10/31/18,KC,agg2,EZ
10/31/18,KC,hd2,HD
10/31/18,LV,agg2,ZE
10/31/18,ML,s,TO
10/31/18,MV,agg2,PY
10/31/18,MZ,s,HA
10/31/18,NW,agg2,YR
10/31/18,SR,s,HD
10/31/18,TW,hd2,WQ
10/31/18,VB,agg2,DG
11/1/18,DC,agg2,WQ
11/1/18,DZ,agg2,HL
11/1/18,FF,agg2,SR
11/1/18,FF,agg1,AX
11/1/18,IF,agg2,PB
11/1/18,IG,agg1,HL
11/1/18,JM,agg2,KC
11/1/18,JR,agg2,HJ
11/1/18,KC,agg3,PB
11/1/18,KQ,agg2,PB
11/1/18,KS,agg2,PB
11/1/18,MF,agg2,TU
11/1/18,MF,hd2,ST
11/1/18,MZ,fd,IQ
11/1/18,NW,agg3,YE
11/1/18,OI,agg2,WY
11/1/18,PU,agg1,YL
11/1/18,RD,agg1,PM
11/1/18,RK,agg2,SR
11/1/18,SR,agg3,AF
11/1/18,TN,hd2,YV
11/1/18,TO,agg3,PY
11/1/18,ZI,agg3,IY
11/2/18,AF,hd2,HD
11/2/18,BH,s,HA
11/2/18,FF,agg1,SR
11/2/18,FG,agg2,PB
11/2/18,HC,s,YL
11/2/18,HC,agg2,YL
11/2/18,HC,agg2,"YN,WY"
11/2/18,HC,agg2,"WY,HS"
11/2/18,HS,agg3,PU
11/2/18,KC,s,BS
11/2/18,KQ,sg,YV
11/2/18,KT,hd2,YV
11/2/18,LQ,agg2,EZ
11/2/18,MF,s,YL
11/2/18,MF,hd2,ST
11/2/18,ML,s,YV
11/2/18,SR,s,HD
11/2/18,SS,agg2,YL
11/2/18,SS,agg2,YR
11/2/18,TB,s,ST
11/2/18,TELH,s,HD
11/2/18,TLCV2,agg2,HT
11/2/18,TN,agg3,IE
11/2/18,TU,agg2,YV
11/3/18,CA,agg3,YO
11/3/18,GL,agg2,PU
11/3/18,GV,agg1,PU
11/3/18,IR,FG1,YN
11/3/18,JO,agg1,YN
11/3/18,TU,FD121R,IEVN
11/3/18,WC,s,YN
11/3/18,YN,s,YL
11/5/18,AF,hd1,HD
11/5/18,AX,s,IQ
11/5/18,AX,s,WQ
11/5/18,CO2,s,PU
11/5/18,CR,agg3,IY
11/5/18,DO,s,VI
11/5/18,DU,hd1,IR
11/5/18,FFFO,s,HL
11/5/18,FFFO,agg3,WY
11/5/18,FG,agg2,PM
11/5/18,HL,hd1,OI
11/5/18,IF,hd1,HD
11/5/18,IF,agg2,AR
11/5/18,IF,agg2,HL
11/5/18,IQ,agg2,CR
11/5/18,IY,agg2,CR
11/5/18,JR,s,YE
11/5/18,KC,agg1,YE
11/5/18,KS,s,YU
11/5/18,KT,hd2,YV
11/5/18,KT,s,FFFO
11/5/18,LV,s,PU
11/5/18,MA,agg1,YE
11/5/18,MA,agg2,YR
11/5/18,MF,agg1,FA
11/5/18,ML,agg1,KC
11/5/18,ML,agg2,AX
11/5/18,MV,sg,AX
11/5/18,MZ,agg2,IR
11/5/18,MZ,s,OI
11/5/18,MZ,agg1,KC
11/5/18,PF,agg3,IF
11/5/18,QS,fd,ST
11/5/18,SR,s,HA
11/5/18,SS,s,IY
11/5/18,TB,s,YV
11/5/18,TB,agg1,TO
11/5/18,TB,s,YU
11/5/18,TN,agg2,HL
11/5/18,TO,agg1,SR
11/5/18,TU,agg2,PU
11/5/18,UM,agg3,DC
11/5/18,VO,agg2,BS
11/5/18,WR,agg2,WY
11/6/18,HA,agg3,HS
11/6/18,HA,agg2,WY
11/6/18,TE,agg3,TN
11/6/18,TL,hd2,HD
11/6/18,YL,G2,YE
11/7/18,AX,agg3,FD
11/7/18,DS,agg3,NQ
11/7/18,EV,hd1,YU
11/7/18,HC,agg1,HD
11/7/18,IFIA2,FG1,HD
11/7/18,JL,agg2,FD
11/7/18,JM,agg1,HD
11/7/18,KC,A,SZP
11/7/18,MF,agg2,ZI
11/7/18,TU,agg1,FFFO
11/9/18,AF,agg2,GL
11/9/18,AF,agg2,IQ
11/9/18,AXAZ2,s,GV
11/9/18,CA,agg3,CL
11/9/18,CA,agg3,DG
11/9/18,CA,agg2,"EZ,ZI"
11/9/18,CA,agg2,"GL,DG,EZ,DC"
11/9/18,CA,agg2,GL
11/9/18,DC,agg1,CA
11/9/18,EA,agg3,TL
11/9/18,EAET2,agg2,CA
11/9/18,EV,s,PA
11/9/18,HAPG,s,CE
11/9/18,IG,s,DG
11/9/18,IG,agg1,HC
11/9/18,IQ,fd,HL
11/9/18,IR,s,YL
11/9/18,JM,fd,BH
11/9/18,LC,agg3,PF
11/9/18,"ML,KC",agg2,MA
11/9/18,PB,agg2,HD
11/9/18,PM,agg2,KQ
11/9/18,PU,agg3,ST
11/9/18,TE,agg3,TL
11/9/18,TN,agg2,"KC,ML"
11/9/18,TUCU2,s,HD
11/9/18,TW,agg2,HD
11/9/18,WC,s,YU
11/9/18,WR,agg2,HS
11/9/18,WY,agg2,YR
11/10/18,CA,agg3,YO
11/10/18,DG,agg2,WQ
11/10/18,IY,agg2,WQ
11/10/18,ML,agg2,TL
11/10/18,NW,s,YV
11/10/18,TL,hd2,HT
11/10/18,WQ,MOB,TROOP
11/12/18,AF,agg1,YU
11/12/18,FFFO,s,HA
11/12/18,FFFO,agg2,HA
11/12/18,FG,agg3,QI
11/12/18,FG,agg2,KT
11/12/18,FG,agg,KT
11/12/18,GL,agg2,"AR,IY"
11/12/18,IG,agg2,PY
11/12/18,IY,agg1,GL
11/12/18,IY,agg2,GL
11/12/18,JV,agg2,QI
11/12/18,PQ,agg3,QI
11/12/18,QI,s,PB
11/12/18,QI,agg2,PB
11/12/18,TN,agg3,CA
11/12/18,TW,agg2,BS
11/13/18,AX,fd,IQ
11/13/18,DO,agg2,PY
11/13/18,DO,agg2,HL
11/13/18,DO,agg2,ML
11/13/18,EV,hd2,ST
11/13/18,FG,agg3,KQ
11/13/18,HS,agg1,HD
11/13/18,HS,s,HD
11/13/18,IFIA2,s,HA
11/13/18,JM,agg2,PY
11/13/18,JM,agg2,AX
11/13/18,JR,agg2,DO
11/13/18,KQ,agg2,PB
11/13/18,MF,agg2,PY
11/13/18,SRSZ,s,IQ
11/15/18,AX,agg2,WQ
11/15/18,DO,agg2,PB
11/15/18,DS,agg,IFIA2
11/15/18,EA,s,AR
11/15/18,EV,hd2,ST
11/15/18,HL,agg2,MA
11/15/18,JM,hd2,HD
11/15/18,KQ,agg3,SS
11/15/18,KQ,agg2,EZ
11/15/18,LQ,s,AL
11/15/18,ML,agg2,IQ
11/15/18,MZ,hd1,IR
11/15/18,NW,agg2,WQ
11/15/18,SS,agg2,KQ
11/15/18,TBTW,s,HA
11/15/18,TBTW2,agg3,HL
11/15/18,TELH,s,IG
11/15/18,TL,hd2,HT
11/15/18,TN,hd1,MA
11/15/18,VG,fd,HA
11/15/18,WQ,agg2,HT
11/15/18,WQ,agg2,MA
11/16/18,AX,agg2,WQ
11/16/18,BH,agg2,AL
11/16/18,CR,hd2,HD
11/16/18,DL2,s,AL
11/16/18,EV,hd2,ST
11/16/18,FU,s,OI
11/16/18,HJ,agg1,YV
11/16/18,HL,s,WQ
11/16/18,KC,hd2,HD
11/16/18,KC,agg2,AX
11/16/18,KT,agg3,HT
11/16/18,LQ,agg1,FA
11/16/18,MZ,s,WQ
11/16/18,MZ,hd1,IR
11/16/18,SR,hd2,HD
11/16/18,TL,s,HC
11/16/18,TL,hd1,HT
11/16/18,TN,hd1,MA
11/16/18,TO,hd1,OI
11/16/18,TO,agg2,IG
11/16/18,TT,hd1,HC
11/17/18,AF,agg1,GL
11/17/18,AX,agg3,FD
11/17/18,AX,s,YE
11/17/18,AX,s,FD
11/17/18,AX,agg2,FD
11/17/18,BZ,agg3,EZ
11/17/18,DS,agg3,NQ
11/17/18,DS,agg2,II
11/17/18,EU,hd1,YU
11/17/18,EV,hd2,ST
11/17/18,FFFO,fd,HL
11/17/18,HC,agg1,HD
11/17/18,IFIA2,fg1,HD
11/17/18,IFIA2,s,HC
11/17/18,IQ,agg2,NW
11/17/18,JL,agg2,HD
11/17/18,JL,agg2,FD
11/17/18,JM,agg1,HD
11/17/18,JM,hd2,HD
11/17/18,KC,s,NQ
11/17/18,KC,agg3,NW
11/17/18,KS,s,ZP
11/17/18,MF,agg2,ZI
11/17/18,MF,agg3,IR
11/17/18,MF,agg2,AR
11/17/18,QS,fd,PA
11/17/18,TU,agg1,FFFO
11/19/18,AX,sg,IQ
11/19/18,BH,fd,IQ
11/19/18,CF,agg3,KQ
11/19/18,CRCO2,hd2,HD
11/19/18,DG,agg2,HC
11/19/18,DO,agg3,PY
11/19/18,EV,hd2,ST
11/19/18,II,hd2,YL
11/19/18,II,fd,EZ
11/19/18,JM,agg2,HA
11/19/18,KQ,agg2,CF
11/19/18,KQ,agg3,EZ
11/19/18,KT,agg2,"TN,VO"
11/19/18,MF,hd2,YE
11/19/18,PG,agg3,AF
11/19/18,SRSZ,fg1,IFIA2
11/19/18,WY,agg1,YU
11/19/18,ZP,s,HD
11/20/18,AX,hd2,FD
11/20/18,DC,agg2,ZI
11/20/18,DG,agg2,YU
11/20/18,DO,hd2,EZ
11/20/18,EQ,agg1,HD
11/20/18,FFFO,fg1,IFIA2
11/20/18,FG,agg3,KQ
11/20/18,FO,agg3,TO
11/20/18,GL,agg2,YU
11/20/18,HA,agg3,EZ
11/20/18,HA,agg2,EZ
11/20/18,HAPQ,hd1,WQ
11/20/18,HJ,agg3,HD
11/20/18,HJ,agg2,YR
11/20/18,IEVN,fg1,FD
11/20/18,II,agg2,PY
11/20/18,JO,agg2,YR
11/20/18,KQ,agg2,FG
11/20/18,KS,agg3,DC
11/20/18,PU,agg3,EQ
11/20/18,PU,agg3,HD
11/20/18,ST,agg3,EQ
11/20/18,VI,agg3,VB
11/20/18,WR,s,WO
11/20/18,YE,agg1,HC
11/20/18,"YE,YR",agg1,HC
11/20/18,YO,agg1,HD
11/20/18,YO,agg1,EQ
11/20/18,YO,agg1,YR
11/20/18,YO,s,YR
11/20/18,YR,agg3,HC
11/20/18,ZE,agg2,DC
11/20/18,ZP,s,WO
11/21/18,BH,sg,CC
11/22/18,AF,fg1,HL
11/22/18,AR,agg3,WQ
11/22/18,FFFO,agg3,IG
11/22/18,FU,agg3,TO
11/22/18,GV,agg1,HC
11/22/18,GV,agg1,YU
11/22/18,HC,s,HD
11/22/18,IG,s,SRSZ
11/22/18,IQ,agg3,AR
11/22/18,MZ,agg3,TN
11/22/18,SRSZ,fg1,IFIA2
11/22/18,WR,agg2,JO
11/23/18,AF,agg3,IFIA2
11/23/18,DL2,agg2,PF
11/23/18,DU2,agg1,AF
11/23/18,EQ,agg2,YL
11/23/18,ET2,SP,PM
11/23/18,FO,s,OI
11/23/18,IY,agg2,HD
11/23/18,KC,agg1,OI
11/23/18,LQ,fd,CC
11/23/18,LV,s,OI
11/23/18,LV,agg1,PB
11/23/18,LW,agg2,EZ
11/23/18,MF,agg2,TN
11/23/18,MZ,hd1,IR
11/23/18,MZ,s,OI
11/23/18,MZ,agg2,IQ
11/23/18,"MZ,PU",agg1,IR
11/23/18,PS,s,EQ
11/23/18,PU,agg2,WR
11/23/18,PY,agg2,IQ
11/23/18,QS,agg2,EZ
11/23/18,TB,s,YR
11/23/18,TE,agg2,TT
11/23/18,TN,agg3,HC
11/23/18,TN,hd2,MA
11/23/18,TN,FD121R,OI
11/23/18,TT,agg2,HD
11/23/18,TT,hd2,YU
11/23/18,TU,agg2,TL
11/23/18,TW,agg1,LT
11/23/18,TW,s,MZ
11/23/18,TW,agg1,LQ
11/23/18,YO,agg1,OI
11/23/18,YU,fg1,WQ
11/24/18,AF,hd2,FD
11/24/18,AN2,agg3,CU
11/24/18,CA,agg1,WO
11/24/18,CA,agg1,ZP
11/24/18,CC,s,HT
11/24/18,CQ,agg3,CU
11/24/18,CQ,agg3,TU
11/24/18,CQ,agg2,CU
11/24/18,CU,agg2,CQ
11/24/18,CU,agg2,CA
11/24/18,DG,agg3,YU
11/24/18,DG,agg2,YU
11/24/18,DZ,agg2,"IE,IQ"
11/24/18,EZ,agg2,CA
11/24/18,IFIA2,hd2,FD
11/24/18,IG,fd,DG
11/24/18,JR,agg3,VB
11/24/18,KT,s,OI
11/24/18,LQ,agg1,"DZ,SR"
11/24/18,LT,s,OI
11/24/18,MF,s,OI
11/24/18,MF,s,DC
11/24/18,MV,agg1,TO
11/24/18,NP,agg1,PU
11/24/18,PA,agg2,WQ
11/24/18,PU,agg1,WR
11/24/18,PY,agg2,CA
11/24/18,QS,agg2,PB
11/24/18,SR,hd2,HD
11/24/18,SS,agg2,VB
11/24/18,TB,s,EZ
11/24/18,TE,agg1,TO
11/24/18,TL,hd1,HT
11/24/18,TL,agg2,TO
11/24/18,TO,agg1,KC
11/24/18,TO,agg3,VB
11/24/18,TU,s,TO
11/24/18,VO,hd2,FD
11/25/18,AL,agg1,IF
11/25/18,IG,s,YU
11/25/18,IQ,s,ZP
11/25/18,JE2,sg,YR
11/25/18,KT,agg3,HT
11/25/18,KT,sg,HT
11/25/18,PU,agg2,YO
11/25/18,TE,sg,FG
11/25/18,VP,agg3,IQ
11/26/18,CA,agg3,YU
11/26/18,CC,s,EQ
11/26/18,CE,agg3,YR
11/26/18,DC,agg2,MA
11/26/18,EX,agg1,HA
11/26/18,FFFO,s,AL
11/26/18,FG,agg3,AF
11/26/18,HA,hd1,WQ
11/26/18,HA,agg3,HS
11/26/18,HS,agg1,PU
11/26/18,HS,agg2,HA
11/26/18,IG,s,HA
11/26/18,IG,hd2,YU
11/26/18,IG,agg2,IEVN
11/26/18,II,agg2,RK
11/26/18,IY,agg1,YU
11/26/18,IY,agg2,HS
11/26/18,IY,agg2,"KT,KQ"
11/26/18,JL,agg3,YE
11/26/18,JL,agg1,HD
11/26/18,JM,agg3,WC
11/26/18,JR,agg3,DC
11/26/18,KT,agg1,HS
11/26/18,KT,agg2,YA
11/26/18,LQ,agg3,IY
11/26/18,MCJR2,s,HA
11/26/18,MF,agg1,DC
11/26/18,ML,agg2,HA
11/26/18,ML,agg2,KQ
11/26/18,PY,agg2,IY
11/26/18,PY,agg3,EZ
11/26/18,PY,s,HA
11/26/18,SRSZ,s,HL
11/26/18,TELH,fd,HL
11/26/18,TO,agg2,AX
11/26/18,VM,agg3,HC
11/26/18,WC,agg3,YR
11/26/18,WR,agg1,YR
11/27/18,AF,agg2,ZE
11/27/18,AX,s,FD
11/27/18,FG,s,WQ
11/27/18,LQ,sg,VI
11/27/18,ML,agg2,YO
11/27/18,MZ,hd2,IR
11/27/18,PA,agg3,OI
11/27/18,TB,agg3,VI
11/27/18,TBTW2,s,KT
11/27/18,TO,s,WQ
11/27/18,VO,sg,WO
11/28/18,AF,agg3,IY
11/28/18,AR,agg1,YU
11/28/18,AX,s,YU
11/28/18,CA,agg2,CE
11/28/18,CA,agg3,MA
11/28/18,CC,agg3,FG
11/28/18,CC,agg3,IG
11/28/18,CF,agg1,NP
11/28/18,DO,fd,MA
11/28/18,DU,agg2,HL
11/28/18,DUDA2,agg1,SRSZ
11/28/18,DZ,hd1,HC
11/28/18,FG,sg,AR
11/28/18,IE,agg2,VB
11/28/18,IEVN,agg3,KQ
11/28/18,IF,agg2,VB
11/28/18,IFIA2,agg2,PY
11/28/18,IFIA2,s,HA
11/28/18,IG,agg2,IE
11/28/18,JL,agg1,FFFO
11/28/18,JL,agg2,IQ
11/28/18,JM,agg3,KC
11/28/18,JM,agg2,PY
11/28/18,KC,sg,WY
11/28/18,KQ,agg2,HS
11/28/18,LW,agg1,KQ
11/28/18,ML,s,SR
11/28/18,ML,agg2,KQ
11/28/18,ML,fd,IG
11/28/18,MR,sg,IQ
11/28/18,MZ,fd,IE
11/28/18,PY,agg2,WY
11/28/18,RK,agg2,SR
11/28/18,TB,agg3,CC
11/28/18,TB,agg1,TO
11/28/18,TB,agg3,FG
11/28/18,TO,agg2,EZ
11/28/18,TO,agg2,AX
11/28/18,VB,agg2,IY
11/28/18,VB,agg2,HS
11/28/18,VM,fd,EZ
11/28/18,VN,agg3,IF
11/28/18,VO,s,AR
11/28/18,VO,agg3,HC
11/28/18,WO,agg3,HC
11/29/18,CU,fd,ZI
11/29/18,DZ,hd1,YN
11/29/18,EY,agg1,YU
11/29/18,EZ,agg3,WR
11/29/18,HS,agg3,HD
11/29/18,HS,agg2,HC
11/29/18,IFIA2,s,TU
11/29/18,IQ,hd2,ZP
11/29/18,"IQ,VP",agg1,ZP
11/29/18,KQ,agg2,HS
11/29/18,KT,agg1,YR
11/29/18,ML,agg1,YR
11/29/18,MV,agg3,YR
11/29/18,PF,agg2,CU
11/29/18,PY,hd2,AR
11/29/18,TBTW2,agg1,IG
11/29/18,TBTW2,agg1,YR
11/29/18,TBTW2,s,HAPQ
11/29/18,TL,hd2,HT
11/29/18,WR,agg1,YN
11/29/18,WR,agg1,"YN,JO"
11/29/18,YO,agg3,WR
11/30/18,AL,agg3,HS
11/30/18,BH,hd2,HC
11/30/18,BZ,agg2,TT
11/30/18,CQ,agg1,BZ
11/30/18,CQ,agg3,BZ
11/30/18,CU,agg3,HL
11/30/18,CU,agg2,IY
11/30/18,DL2,s,YL
11/30/18,DU,s,OI
11/30/18,EV,hd1,ST
11/30/18,EZ,agg2,GL
11/30/18,EZ,agg2,HS
11/30/18,FD,agg2,YV
11/30/18,FO,s,OI
11/30/18,GL,agg2,WR
11/30/18,HA,agg3,PB
11/30/18,"HD,SZ",agg3,WQ
11/30/18,IFIA2,s,HA
11/30/18,IY,agg3,HS
11/30/18,KQ,s,YL
11/30/18,KS,s,OI
11/30/18,LV,agg1,VB
11/30/18,LW,agg1,PB
11/30/18,LW,agg2,VB
11/30/18,MZ,s,HC
11/30/18,MZ,hd1,IR
11/30/18,OI,agg3,WQ
11/30/18,PS,s,OI
11/30/18,PY,agg1,OI
11/30/18,QS,agg3,SS
11/30/18,QS,agg2,SS
11/30/18,SS,agg3,PU
11/30/18,TB,agg1,HC
11/30/18,TB,agg3,TE
11/30/18,TBTW2,agg2,HL
11/30/18,TE,agg3,TN
11/30/18,TL,agg1,TO
11/30/18,TO,agg1,IF
11/30/18,TO,s,OI
