SUBJECT,SUBJECT_KIN,RELATION
HD,PZ,SIBLING
HD,HJ,UNCLE
HD,HL,AUNT
HD,PA,COUSIN
HD,PY,COUSIN
HD,PF,COUSIN
HD,PS,COUSIN
HD,PC2,COUSIN
HD,PW,COUSIN
HD,PJ2,COUSIN
HD,HI,UNCLE
HD,HA,AUNT
HD,PM,COUSIN
HD,PJ,COUSIN
HD,PQ,COUSIN
HD,PX,COUSIN
IW,IG,MOM
IW,VI,SIBLING
IW,VB,SIBLING
IW,VD,SIBLING
IW,VO2,SIBLING
IW,VY2,SIBLING
IW,IQ,AUNT
IW,IY,COUSIN
IW,VO,COUSIN
IW,VM,COUSIN
IW,VP,COUSIN
IW,IR,UNCLE
IW,IE,AUNT
IW,VJ,COUSIN
IW,VN,COUSIN
IW,VA2,COUSIN
IW,IF,AUNT
IW,IJ,COUSIN
IW,IA2,COUSIN
IW,IX,COUSIN
IY,IQ,MOM
IY,VO,SIBLING
IY,VM,SIBLING
IY,VP,SIBLING
IY,IG,AUNT
IY,VI,COUSIN
IY,VB,COUSIN
IY,IW,COUSIN
IY,VD,COUSIN
IY,VO2,COUSIN
IY,VY2,COUSIN
IY,IR,UNCLE
IY,IE,AUNT
IY,VJ,COUSIN
IY,VN,COUSIN
IY,VA2,COUSIN
IY,IF,AUNT
IY,IJ,COUSIN
IY,IA2,COUSIN
IY,IX,COUSIN
JV,MV,MOM
JV,JB2,SIBLING
JV,JQ,SIBLING
JV,JR2,SIBLING
JV,MR,AUNT
JV,MV2,COUSIN
JV,MG2,COUSIN
JV,MJ2,COUSIN
JV,ML,AUNT
JV,JM,COUSIN
JV,JR2,COUSIN
JV,JE2,COUSIN
JV,MS2,COUSIN
JV,MZ,AUNT
JV,MI2,COUSIN
JV,MD2,COUSIN
JV,MA,COUSIN
KB2,KC,MOM
KB2,KB2,SIBLING
KB2,KQ,UNCLE
KB2,KS,UNCLE
KB2,KJ,AUNT
KB2,KI2,UNCLE
KB2,KL2,AUNT
KB2,KT,GRANDMA
KQ,KT,MOM
KQ,KC,SIBLING
KQ,KS,SIBLING
KQ,KJ,SIBLING
KQ,KI2,SIBLING
KQ,KL2,SIBLING
KQ,KB2,NEPHEW
KQ,KL,NEPHEW
KS,KT,MOM
KS,KC,SIBLING
KS,KQ,SIBLING
KS,KJ,SIBLING
KS,KI2,SIBLING
KS,KL2,SIBLING
KS,KB2,NEPHEW
KS,KL,NEPHEW
LW,TE,MOM
LW,LT,SIBLING
LW,LU2,SIBLING
LW,LR,SIBLING
LW,LR2,SIBLING
LW,TB,AUNT
LW,TW,COUSIN
LW,TN,COUSIN
LW,LQ,COUSIN
LW,LV,COUSIN
LW,TS2,COUSIN
MA,MZ,MOM
MA,MI2,SIBLING
MA,MD2,SIBLING
MA,MF,SIBLING
MA,ML,AUNT
MA,JM,COUSIN
MA,JR,COUSIN
MA,JD,COUSIN
MA,JE2,COUSIN
MA,MS2,COUSIN
MA,MV,AUNT
MA,JV,COUSIN
MA,JB2,COUSIN
MA,JQ,COUSIN
MA,JR2,COUSIN
MA,MR,AUNT
MA,MV2,COUSIN
MA,MG2,COUSIN
MA,MJ2,COUSIN
MD2,MZ,MOM
MD2,MI2,SIBLING
MD2,MA,SIBLING
MD2,MF,SIBLING
MD2,ML,AUNT
MD2,JM,COUSIN
MD2,JR,COUSIN
MD2,JD,COUSIN
MD2,JE2,COUSIN
MD2,MS2,COUSIN
MD2,MV,AUNT
MD2,JV,COUSIN
MD2,JB2,COUSIN
MD2,JQ,COUSIN
MD2,JR2,COUSIN
MD2,MR,AUNT
MD2,MV2,COUSIN
MD2,MG2,COUSIN
MD2,MJ2,COUSIN
PA,HL,MOM
PA,PY,SIBLING
PA,PF,SIBLING
PA,PS,SIBLING
PA,PC2,SIBLING
PA,PW,SIBLING
PA,PJ2,SIBLING
PA,PF2,NIECE
PA,PB2,NEPHEW
PA,HV,AUNT
PA,HR,COUSIN
PA,HD,COUSIN
PA,HC,COUSIN
PA,PB,COUSIN
PA,PG,COUSIN
PA,PZ,COUSIN
PA,HA,AUNT
PA,PM,COUSIN
PA,PJ,COUSIN
PA,PQ,COUSIN
PA,HI,UNCLE
PA,HJ,UNCLE
PB,HV,MOM
PB,HR,SIBLING
PB,HC,SIBLING
PB,HD,SIBLING
PB,PG,SIBLING
PB,PZ,SIBLING
PB,HJ,UNCLE
PB,HL,AUNT
PB,PA,COUSIN
PB,PY,COUSIN
PB,PF,COUSIN
PB,PS,COUSIN
PB,PC2,COUSIN
PB,PW,COUSIN
PB,PJ2,COUSIN
PB,HI,UNCLE
PB,HA,AUNT
PB,PM,COUSIN
PB,PJ,COUSIN
PB,PQ,COUSIN
PB,PX,COUSIN
PF,HL,MOM
PF,PY,SIBLING
PF,PA,SIBLING
PF,PS,SIBLING
PF,PC2,SIBLING
PF,PW,SIBLING
PF,PJ2,SIBLING
PF,PF2,NIECE
PF,PB2,NEPHEW
PF,HV,AUNT
PF,HR,COUSIN
PF,HD,COUSIN
PF,HC,COUSIN
PF,PB,COUSIN
PF,PG,COUSIN
PF,PZ,COUSIN
PF,HA,AUNT
PF,PM,COUSIN
PF,PJ,COUSIN
PF,PQ,COUSIN
PF,HI,UNCLE
PF,HJ,UNCLE
PG,HV,MOM
PG,HR,SIBLING
PG,HC,SIBLING
PG,HD,SIBLING
PG,PB,SIBLING
PG,PZ,SIBLING
PG,HJ,UNCLE
PG,HL,AUNT
PG,PA,COUSIN
PG,PY,COUSIN
PG,PF,COUSIN
PG,PS,COUSIN
PG,PC2,COUSIN
PG,PW,COUSIN
PG,PJ2,COUSIN
PG,HI,UNCLE
PG,HA,AUNT
PG,PM,COUSIN
PG,PJ,COUSIN
PG,PQ,COUSIN
PG,PX,COUSIN
PM,HA,MOM
PM,PJ,SIBLING
PM,PQ,SIBLING
PM,HV,AUNT
PM,HR,COUSIN
PM,HD,COUSIN
PM,HC,COUSIN
PM,PB,COUSIN
PM,PG,COUSIN
PM,PZ,COUSIN
PM,HL,AUNT
PM,PA,COUSIN
PM,PY,COUSIN
PM,PF,COUSIN
PM,PS,COUSIN
PM,PC2,COUSIN
PM,PW,COUSIN
PM,PJ2,COUSIN
PS,HL,MOM
PS,PY,SIBLING
PS,PA,SIBLING
PS,PF,SIBLING
PS,PC2,SIBLING
PS,PW,SIBLING
PS,PJ2,SIBLING
PS,PF2,NIECE
PS,PB2,NEPHEW
PS,HV,AUNT
PS,HR,COUSIN
PS,HD,COUSIN
PS,HC,COUSIN
PS,PB,COUSIN
PS,PG,COUSIN
PS,PZ,COUSIN
PS,HA,AUNT
PS,PM,COUSIN
PS,PJ,COUSIN
PS,PQ,COUSIN
PS,HI,UNCLE
