Date,avoider,age/sex avoider,type,avoided,age/sex/avoided
2018-03-26,EQ,SAM,agg3,HD,SAM
2018-03-26,NW,AM,agg2,YR,SAM
2018-03-26,PA,SAM,agg2,HC,SAM
2018-03-26,WO,SAM,agg2,WR,SAM
2018-03-26,ZP,SAM,agg2,WY,SAM
2018-03-27,HT,SAM,agg2,YU,SAM
2018-03-27,NW,AM,agg2,HD,SAM
2018-03-28,MA,SAM,agg2,YU,SAM
2018-03-28,PU,AM,fd,HC,SAM
2018-03-28,YR,SAM,agg2,HT,SAM
2018-03-28,YU,SAM,agg2,HT,SAM
2018-03-29,NW,AM,agg2,IR,SAM
2018-03-29,ST,SAM,agg2,YU,SAM
2018-04-05,AR,SAM,agg2,HS,SAM
2018-04-05,AR,SAM,agg3,HS,SAM
2018-04-06,AR,SAM,agg2,HD,SAM
2018-04-06,EQ,SAM,agg1,YR,SAM
2018-04-07,IR,SAM,agg2,MA,SAM
2018-04-07,IR,SAM,agg3,MA,SAM
2018-04-07,IY,SAM,agg2,HS,SAM
2018-04-07,IY,SAM,agg2,YR,SAM
2018-04-07,MA,SAM,agg2,HS,SAM
2018-04-07,YO,AM,agg2,YR,SAM
2018-04-09,PA,SAM,agg2,YR,SAM
2018-04-09,PU,AM,agg2,GV,SAM
2018-04-09,PU,AM,agg1,YR,SAM
2018-04-10,NW,AM,agg1,WY,SAM
2018-04-10,NW,AM,agg2,YU,SAM
2018-04-10,PU,AM,agg2,YR,SAM
2018-04-10,ST,SAM,agg2,YU,SAM
2018-04-11,MA,SAM,agg2,HD,SAM
2018-04-11,MA,SAM,agg1,IR,SAM
2018-04-11,MA,SAM,agg2,IR,SAM
2018-04-13,YO,AM,agg3,HD,SAM
2018-04-14,HJ,AM,agg2,WR,SAM
2018-04-14,MA,SAM,agg2,HS,SAM
2018-04-14,PU,AM,agg2,YU,SAM
2018-04-17,CE,AM,agg3,OI,SAM
2018-04-17,EQ,SAM,agg1,HS,SAM
2018-04-17,NW,AM,agg2,HD,SAM
2018-04-17,OI,SAM,agg2,WO,SAM
2018-04-17,PU,AM,agg1,OI,SAM
2018-04-17,WO,SAM,agg3,OI,SAM
2018-04-18,HC,SAM,agg2,YR,SAM
2018-04-19,WO,SAM,agg1,WR,SAM
2018-04-20,YR,SAM,agg1,NI,SAM
2018-04-21,IR,SAM,agg1,AR,SAM
2018-04-21,NW,AM,agg2,OI,SAM
2018-04-23,EQ,SAM,agg2,JO,SAM
2018-04-23,GL,SAM,agg2,HS,SAM
2018-04-23,MA,SAM,agg3,WY,SAM
2018-04-23,NI,SAM,agg2,HS,SAM
2018-04-26,NW,AM,agg2,PU,AM
2018-04-28,FD,SAM,agg2,HS,SAM
2018-04-28,PA,SAM,agg2,YR,SAM
2018-04-28,YR,SAM,agg1,NI,SAM
2018-04-30,AR,SAM,agg2,WY,SAM
2018-05-01,BS,SAM,agg3,WQ,SAM
2018-05-01,GL,SAM,agg1,NP,AM
2018-05-01,NW,AM,agg2,HD,SAM
2018-05-02,GL,SAM,agg1,NP,AM
2018-05-03,GV,SAM,agg2,HT,SAM
